customer_id,customer_name,email,city,province,signup_date
CUST-0001,Johnson-Davis,williamjohnson@baldwin.net,Vancouver,BC,2024-07-05
CUST-0002,Lawrence-Pacheco,blakeerik@peterson-moore.com,Toronto,ON,2023-08-01
CUST-0003,Davis-Abbott,lindsay78@dudley.com,Toronto,ON,2024-11-23
CUST-0004,"Montgomery, Hensley and Ray",williamsjeremy@galloway-wyatt.com,Mississauga,ON,2024-05-24
CUST-0005,Reid-Diaz,michael41@reid.info,Hamilton,ON,2024-05-23
CUST-0006,"Watts, Robinson and Nguyen",perezantonio@morales-jones.org,Hamilton,ON,2025-11-04
CUST-0007,Lewis-Porter,ithomas@mcgee.com,Toronto,ON,2025-06-19
CUST-0008,Hurst-Ross,wendytaylor@davis-williams.com,Hamilton,ON,2023-09-24
CUST-0009,Conner Group,cruzcaitlin@rice-maddox.com,Vancouver,BC,2025-04-09
CUST-0010,Maldonado PLC,kayla51@graham-chavez.com,Hamilton,ON,2026-02-14
CUST-0011,Romero Inc,meagan89@hernandez.net,Calgary,AB,2026-01-25
CUST-0012,"Sellers, George and Burns",hickmannatasha@allen-allen.org,Ottawa,ON,2026-01-18
CUST-0013,Dennis Inc,davidalvarez@martin.com,Toronto,ON,2025-12-30
CUST-0014,"Vaughn, Marquez and Ross",samuel87@wright.com,Brampton,ON,2023-05-07
CUST-0015,"Hall, Robinson and Jones",perezrebecca@jones-young.info,Vancouver,BC,2023-11-29
CUST-0016,Cummings PLC,esanchez@lee-davis.biz,Montreal,QC,2024-04-26
CUST-0017,Owens-Daniel,brownjessica@wright.net,Ottawa,ON,2024-08-05
CUST-0018,White-Ford,ramosmichelle@garcia.com,Brampton,ON,2026-02-10
CUST-0019,Martin Group,zlewis@martin.biz,Hamilton,ON,2024-01-22
CUST-0020,Mitchell-Horton,smoore@novak.net,Montreal,QC,2023-06-18
CUST-0021,Brown-Silva,brianromero@jones.com,Mississauga,ON,2024-06-18
CUST-0022,"Sanchez, Wheeler and Harvey",ksandoval@stewart.com,Mississauga,ON,2023-12-25
CUST-0023,Anderson-Brewer,wstewart@smith.org,Vancouver,BC,2026-03-11
CUST-0024,Medina PLC,david51@wood.info,Mississauga,ON,2025-09-19
CUST-0025,"Turner, Riggs and Roman",contrerasangela@garcia.com,Montreal,QC,2025-06-14
CUST-0026,Nelson PLC,jenniferharris@farrell.com,Montreal,QC,2023-07-22
CUST-0027,Calderon-Williams,kellie42@ramos.com,Ottawa,ON,2023-07-04
CUST-0028,"Mckee, Gardner and Davenport",russellwilliams@nolan-flynn.com,Toronto,ON,2025-11-28
CUST-0029,Fleming Ltd,gomezanita@dickson-brady.com,Calgary,AB,2025-10-22
CUST-0030,Keith Inc,jillcook@pham-shields.com,Mississauga,ON,2024-01-24
CUST-0031,"Rodriguez, Brennan and Garrison",jamessellers@torres-pope.com,Vancouver,BC,2023-12-08
CUST-0032,"Lee, Murphy and Lin",michael86@zavala.com,Mississauga,ON,2025-11-04
CUST-0033,White-Estes,benjamin96@chandler-edwards.org,Ottawa,ON,2026-02-27
CUST-0034,Cruz PLC,jonathanfletcher@meyer.com,Montreal,QC,2024-05-07
CUST-0035,Rush LLC,elizabeth14@parker.com,Hamilton,ON,2024-11-26
CUST-0036,Fisher Group,christinaturner@bass.org,Mississauga,ON,2025-01-20
CUST-0037,Marshall-Ramos,williamleon@jackson.org,Toronto,ON,2024-04-06
CUST-0038,Chambers and Sons,dylanwilliams@carr-mack.info,Hamilton,ON,2024-06-29
CUST-0039,"Johnston, Higgins and Cruz",psanchez@smith.com,Ottawa,ON,2025-07-22
CUST-0040,Thompson Ltd,pwilliams@bryant.net,Mississauga,ON,2026-03-03
CUST-0041,"Stewart, Fischer and Ramos",jrivas@merritt-manning.info,Hamilton,ON,2024-08-06
CUST-0042,Larsen LLC,rsims@jones-mitchell.com,Mississauga,ON,2024-04-07
